25-10-2021 17:05:43.047 INFO  c.m.i.IdentityServiceApplication.logStarting.55 - Starting IdentityServiceApplication using Java 1.8.0_60 on DESKTOP-I2FCGVK with PID 13428 (G:\3.Mrd_java\0.Myproject\2.Microservice_Tools\identity-service\target\classes started by DaiPhongPC in G:\3.Mrd_java\0.Myproject\2.Microservice_Tools\identity-service)
25-10-2021 17:05:43.075 INFO  c.m.i.IdentityServiceApplication.logStartupProfileInfo.659 - No active profile set, falling back to default profiles: default
25-10-2021 17:05:51.916 INFO  c.m.i.IdentityServiceApplication.logStarted.61 - Started IdentityServiceApplication in 9.79 seconds (JVM running for 11.514)
25-10-2021 17:06:01.508 INFO  c.m.i.service.impl.AuthServiceImpl.loadUserByUsername.36 - Find user with longnt31 ==> uuid: 000c8351-7d6f-4f55-a969-442fb60c5fea
25-10-2021 17:07:05.890 INFO  c.m.i.IdentityServiceApplication.logStarting.55 - Starting IdentityServiceApplication using Java 1.8.0_60 on DESKTOP-I2FCGVK with PID 13476 (G:\3.Mrd_java\0.Myproject\2.Microservice_Tools\identity-service\target\classes started by DaiPhongPC in G:\3.Mrd_java\0.Myproject\2.Microservice_Tools\identity-service)
25-10-2021 17:07:05.893 INFO  c.m.i.IdentityServiceApplication.logStartupProfileInfo.659 - No active profile set, falling back to default profiles: default
25-10-2021 17:07:11.597 INFO  c.m.i.IdentityServiceApplication.logStarted.61 - Started IdentityServiceApplication in 6.58 seconds (JVM running for 8.298)
25-10-2021 17:07:39.022 INFO  c.m.i.service.impl.AuthServiceImpl.loadUserByUsername.36 - Find user with longnt31 ==> uuid: 000c8351-7d6f-4f55-a969-442fb60c5fea
25-10-2021 17:08:38.107 INFO  c.m.i.IdentityServiceApplicationTests.logStarting.55 - Starting IdentityServiceApplicationTests using Java 1.8.0_60 on DESKTOP-I2FCGVK with PID 14324 (started by DaiPhongPC in G:\3.Mrd_java\0.Myproject\2.Microservice_Tools\identity-service)
25-10-2021 17:08:38.109 INFO  c.m.i.IdentityServiceApplicationTests.logStartupProfileInfo.659 - No active profile set, falling back to default profiles: default
25-10-2021 17:08:47.264 INFO  c.m.i.IdentityServiceApplicationTests.logStarted.61 - Started IdentityServiceApplicationTests in 10.308 seconds (JVM running for 11.836)
